Index,SPY,TLT,GLD,VXX,DBC
2009-02-02,64.6152238086,74.7703428996,88.84,106752,19.2935491527
2009-02-03,65.5228697198,72.9895898805,88.47,101754.88,19.0701092581
2009-02-04,65.202065861,72.734183073,89.18,102133.76,19.1769718164
2009-02-05,66.1723098226,72.7980347749,90.12,101509.12,19.6044220494
2009-02-06,68.0580312982,72.5710065016,89.59,100044.8,19.7502408675
2009-02-09,68.1519221143,72.8051294084,88.32,101713.92,19.6432811615
2009-02-10,65.0299247432,74.3872326883,90.21,107110.4,19.3906969329
2009-02-11,65.41332587,75.35210285,92.29,105543.68,19.2741195966
2009-02-12,65.4602779289,74.6426394958,93.17,105226.24,19.3032639307
2009-02-13,64.7560659012,72.6561421041,92.55,104437.76,18.9535319219
2009-02-17,61.9861706317,74.919330204,95.45,109660.16,17.8946211174
2009-02-18,61.8375024135,74.2808131852,96.91,110817.28,17.7877585592
2009-02-19,61.1724155366,73.0179684147,95.77,110878.72,18.2241463879
2009-02-20,60.5777473587,73.7274317689,97.8,116039.68,18.0209132317
2009-02-23,58.4103471752,74.4085165889,97.73,122245.12,17.8460472273
2009-02-24,60.6246986351,74.33047562,94.73,110673.92,18.1860644581
2009-02-25,60.1474004326,73.4720249614,93.15,110028.8,18.3997895746
2009-02-26,59.1693303453,72.6987099053,93.057,111124.48,18.7883806955
2009-02-27,57.84697724,72.2801265263,92.63,111278.08,18.564940801
2009-03-02,55.2413969627,73.4735503076,90.93,119183.36,17.6323221108
2009-03-03,54.8266968106,72.98268325,90.04,118681.6,17.7488994471
2009-03-04,56.1255762338,72.6483245296,88.99,110397.44,18.3706452405
2009-03-05,53.8329799493,74.6687048827,91.987,117043.2,18.2152087922
2009-03-06,53.9268707654,74.1707238097,92.29,116101.12,18.6523738032
2009-03-09,53.2930836962,73.7367688747,90.57,116551.68,18.5455112449
2009-03-10,56.4698529922,72.3210798245,88.14,107868.16,18.4969373548
2009-03-11,56.8376081275,73.1036215105,89.22,107069.44,17.9140506735
2009-03-12,59.0754332696,73.4522082616,91.1,105205.76,18.7495215834
2009-03-13,59.5370792209,73.0822794646,91.3,106752,18.584370357
2009-03-16,59.3571182372,71.9298089814,90.8,110510.08,18.992391034
2009-03-17,61.1724155366,71.5385381384,90.04,106680.32,19.4004117109
2009-03-18,62.5417136588,74.2489779784,93.09,106946.56,19.6432811615
2009-03-19,61.7670837146,74.3414601776,94.35,111964.16,20.0513018384
